as_of_date,target_date,acute_load_7,chronic_load_28,atl_ctl_ratio,days_since_last_hard,streak_length,trained_today,trained_hard_today,trained_days_2,trained_both_days_2,trained_days_7,trained_days_30,moving_time_acute_7,moving_time_chronic_28,today_relative_effort,dow_train_rate,month_train_rate,day_of_week,trained_last_weekend,month,season,days_since_last_long_ride,forecast_temp_high,forecast_temp_low,forecast_precip_probability,forecast_rain_expected,forecast_wind_speed,forecast_temp_high_vs_seasonal,forecast_temp_low_vs_seasonal,forecast_precip_probability_vs_seasonal,forecast_wind_speed_vs_seasonal,forecast_precip_morning,forecast_precip_midday,forecast_precip_evening,will_train_tomorrow,next_day_relative_effort
2024-09-26,2024-09-27,31.0,31.0,1.0,999,1,1,0,1.0,0,1.0,1.0,2259.0,2259.0,31.0,0.5,1.0,4,False,9,3,999,17.4,10.1,20.833333333333336,1,13.5,-1.5983713355048863,0.5791530944625407,-1.3165038002171556,1.7960912052117255,0.0,71.42857142857143,0.0,1,13.0
2024-09-27,2024-09-28,26.5,29.758620689655174,0.8904982618771726,999,2,1,0,2.0,1,2.0,2.0,1943.5,2171.9655172413795,13.0,0.5,1.0,5,False,9,3,999,17.5,7.4,0.0,0,8.9,-1.3143322475570045,-1.9830618892508127,-22.13626492942454,-2.796416938110749,0.0,0.0,0.0,1,263.0
2024-09-28,2024-09-29,85.625,45.84423305588585,1.8677376475165348,0,3,1,1,2.0,1,3.0,3.0,3738.375,2651.3472057074914,263.0,0.5,1.0,6,False,9,3,999,15.5,8.9,4.166666666666666,1,10.6,-3.124755700325732,-0.32833876221498315,-17.956026058631927,-1.0843648208469077,0.0,0.0,0.0,0,0.0
2024-09-29,2024-09-30,64.21875,42.682561810652345,1.5045664382772086,1,0,0,0,1.0,0,3.0,3.0,2803.78125,2468.4956742793884,0.0,0.5,0.75,0,False,9,3,999,18.9,4.2,0.0,0,9.4,0.4547231270358303,-4.870684039087947,-22.25841476655809,-2.341693811074917,0.0,0.0,0.0,0,0.0
2024-09-30,2024-10-01,48.1640625,39.73893685819356,1.2120118530566402,2,0,0,0,0.0,0,3.0,3.0,2102.8359375,2298.2545932946027,0.0,0.5,0.5,1,True,10,3,999,20.6,7.1,8.333333333333332,1,9.7,2.3605863192182426,-1.8166123778501628,-14.210097719869708,-2.0609120521172652,0.0,0.0,40.0,0,0.0
2024-10-01,2024-10-02,36.123046875,36.99832052314573,0.9763428816289602,3,0,0,0,0.0,0,3.0,3.0,1577.126953125,2139.7542765156645,0.0,0.5,0.0,2,True,10,3,999,16.0,8.1,16.666666666666664,1,12.1,-2.003583061889252,-0.6732899022801302,-6.392508143322477,0.29706840390879385,0.0,42.857142857142854,0.0,0,0.0
2024-10-02,2024-10-03,27.09228515625,34.44671221120464,0.7864984324233292,4,0,0,0,0.0,0,3.0,3.0,1182.84521484375,1992.1850160663082,0.0,1.0,0.0,3,True,10,3,999,19.3,3.4,0.0,0,10.7,1.4508143322475568,-5.239739413680782,-23.194896851248643,-1.0973941368078197,0.0,0.0,0.0,0,0.0
2024-10-03,2024-10-04,20.3192138671875,32.07107688629397,0.6335681816743486,5,0,0,0,0.0,0,2.0,3.0,887.1339111328125,1854.7929459927695,0.0,1.0,0.0,4,True,10,3,999,15.7,7.9,45.83333333333333,1,20.4,-1.9680781758957657,-0.6439739413680776,21.742671009771982,8.484690553745926,25.0,85.71428571428571,80.0,0,0.0
2024-10-04,2024-10-05,15.239410400390625,29.859278480342663,0.510374368571003,6,0,0,0,0.0,0,1.0,3.0,665.3504333496094,1726.8761910967164,0.0,1.0,0.0,5,True,10,3,999,,,,0,,,,,,,,,1,6.0
2024-10-05,2024-10-06,12.929557800292969,28.21381099893972,0.45827051867537016,7,1,1,0,1.0,0,1.0,4.0,698.262825012207,1662.7467986072877,6.0,0.0,0.2,6,True,10,3,999,19.1,7.2,0.0,0,7.2,1.8583061889250843,-1.0964169381107487,-25.66503800217155,-4.920521172638437,0.0,0.0,0.0,0,0.0
